experiment_id,instrument,OpenTS per 5 minutes,CloseTS per 5 minutes,duration in hours,duration in minutes,job_id,amount,lowest_v,highest_v,profit_v,profit_p,max_DD,open_price,close_price,tp_p,Losing streak,Winning streak,Transform HH,Transform day/night,WEST,ASIA,total nr of trades,AVG trade duration,AVG nov-dec,AVG jan-may,AVG june-oct,profitable trades,Losing trades,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 7:50,2022-05-13 8:00,0:10,10,,"11,829",11773.87,12183.68,345.73,2.92,-0.46,5.13,5.28,3,0,5,7,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 8:10,2022-05-13 8:20,0:10,10,,"12,175",11748.31,12539.78,355.83,2.92,-3.5,5.25,5.41,3,0,6,8,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 9:00,2022-05-13 11:00,2:00,120,,"12,530",11997.19,12645.69,-18.78,-0.15,-4.26,5.02,5.02,3,1,0,9,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 11:40,2022-05-13 12:40,1:00,60,,"12,512",12168.48,12733.26,212.12,1.7,-2.74,4.87,4.96,3,0,1,11,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 13:30,2022-05-13 13:40,0:10,10,,"12,724",12688.07,12975.24,189.63,1.49,-0.28,4.87,4.95,3,0,2,13,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 15:10,2022-05-13 16:00,0:50,50,,"12,913",12717.04,13300.74,377.42,2.92,-1.52,4.84,4.99,3,0,3,15,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 17:00,2022-05-13 18:10,1:10,70,,"13,291",12467.69,13389.22,-290.75,-2.19,-6.19,4.9,4.8,3,1,0,17,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 18:30,2022-05-13 20:30,2:00,120,,"13,000",12124.25,13336.67,-481.02,-3.7,-6.74,4.5,4.34,3,2,0,18,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-13 22:00,2022-05-13 22:10,0:10,10,,"12,519",12480.04,12894.56,365.9,2.92,-0.31,4.23,4.36,3,0,1,22,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-14 1:20,2022-05-14 2:10,0:50,50,,"12,885",12476.72,12997.86,72.58,0.56,-3.17,4.2,4.23,3,0,2,1,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-14 11:50,2022-05-14 13:30,1:40,100,,"12,957",11674.72,13346.2,378.71,2.92,-9.9,4.17,4.3,3,0,3,11,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-14 14:50,2022-05-14 16:20,1:30,90,,"13,336",12642.8,13497.04,14.15,0.11,-5.2,3.9,3.91,3,0,4,14,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-14 17:40,2022-05-14 18:10,0:30,30,,"13,350",13169.75,13750.86,390.2,2.92,-1.35,3.91,4.03,3,0,5,17,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-14 20:40,2022-05-14 22:00,1:20,80,,"13,741",13406.42,13892.16,44.12,0.32,-2.43,4.24,4.26,3,0,6,20,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-15 3:00,2022-05-15 3:20,0:20,20,,"13,785",13714.31,14198.2,402.89,2.92,-0.51,4.59,4.73,3,0,7,3,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-15 4:10,2022-05-15 6:10,2:00,120,,"14,188",13689.11,14268.39,-21.27,-0.15,-3.51,4.65,4.65,3,1,0,4,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-15 12:30,2022-05-15 12:40,0:10,10,,"14,166",14155.67,14591.28,414.05,2.92,-0.07,4.68,4.82,3,0,1,12,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-15 16:20,2022-05-15 16:40,0:20,20,,"14,580",14174,15017.75,426.15,2.92,-2.79,4.79,4.93,3,0,2,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-15 23:30,2022-05-16 0:00,0:30,30,,"15,006",14995.24,15456.68,438.6,2.92,-0.07,5.03,5.18,3,0,3,23,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-16 2:10,2022-05-16 2:40,0:30,30,,"15,445",15311.99,15908.44,451.42,2.92,-0.86,5.08,5.23,3,0,4,2,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-16 4:20,2022-05-16 9:30,5:10,310,,"15,897",14088.12,16010.66,-1252.07,-7.88,-11.38,5.04,4.65,3,1,0,4,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-16 11:20,2022-05-16 12:10,0:50,50,,"14,644",14569.97,15083.77,428.02,2.92,-0.51,4.61,4.75,3,0,1,11,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-16 14:10,2022-05-16 14:20,0:10,10,,"15,072",14933.79,15524.63,440.53,2.92,-0.92,4.73,4.87,3,0,2,14,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-16 15:30,2022-05-16 16:20,0:50,50,,"15,513",15207.65,15827.7,205.02,1.32,-1.97,4.75,4.82,3,0,3,15,1,,,,,,,,,,,,
